"Statistic","Year","Age","Type of Registration","UNIT","VALUE"
"Used  (Imported) Cars Registered","2008","13 years and over","Net registrations","Number","5232"
"Used  (Imported) Cars Registered","2009","All ages","Gross registrations","Number","49073"
"Used  (Imported) Cars Registered","2009","All ages","Exempt registrations","Number","4018"
"Used  (Imported) Cars Registered","2009","All ages","Net registrations","Number","45055"
"Used  (Imported) Cars Registered","2009","1 year","Gross registrations","Number","1436"
"Used  (Imported) Cars Registered","2009","1 year","Exempt registrations","Number","67"
"Used  (Imported) Cars Registered","2009","1 year","Net registrations","Number","1369"
"Used  (Imported) Cars Registered","2009","2 years","Gross registrations","Number","8241"
"Used  (Imported) Cars Registered","2009","2 years","Exempt registrations","Number","408"
"Used  (Imported) Cars Registered","2009","2 years","Net registrations","Number","7833"
"Used  (Imported) Cars Registered","2009","3 years","Gross registrations","Number","3753"
"Used  (Imported) Cars Registered","2009","3 years","Exempt registrations","Number","423"
"Used  (Imported) Cars Registered","2009","3 years","Net registrations","Number","3330"
"Used  (Imported) Cars Registered","2009","4 years","Gross registrations","Number","6096"
"Used  (Imported) Cars Registered","2009","4 years","Exempt registrations","Number","436"
"Used  (Imported) Cars Registered","2009","4 years","Net registrations","Number","5660"
"Used  (Imported) Cars Registered","2009","5 years","Gross registrations","Number","7376"
"Used  (Imported) Cars Registered","2009","5 years","Exempt registrations","Number","423"
"Used  (Imported) Cars Registered","2009","5 years","Net registrations","Number","6953"
"Used  (Imported) Cars Registered","2009","6 years","Gross registrations","Number","4589"
"Used  (Imported) Cars Registered","2009","6 years","Exempt registrations","Number","445"
"Used  (Imported) Cars Registered","2009","6 years","Net registrations","Number","4144"
"Used  (Imported) Cars Registered","2009","7 years","Gross registrations","Number","3576"
"Used  (Imported) Cars Registered","2009","7 years","Exempt registrations","Number","370"
"Used  (Imported) Cars Registered","2009","7 years","Net registrations","Number","3206"
"Used  (Imported) Cars Registered","2009","8 years","Gross registrations","Number","3447"
"Used  (Imported) Cars Registered","2009","8 years","Exempt registrations","Number","315"
"Used  (Imported) Cars Registered","2009","8 years","Net registrations","Number","3132"
"Used  (Imported) Cars Registered","2009","9 years","Gross registrations","Number","2940"
"Used  (Imported) Cars Registered","2009","9 years","Exempt registrations","Number","277"
"Used  (Imported) Cars Registered","2009","9 years","Net registrations","Number","2663"
"Used  (Imported) Cars Registered","2009","10 years","Gross registrations","Number","2124"
"Used  (Imported) Cars Registered","2009","10 years","Exempt registrations","Number","215"
"Used  (Imported) Cars Registered","2009","10 years","Net registrations","Number","1909"
"Used  (Imported) Cars Registered","2009","11 years","Gross registrations","Number","1664"
"Used  (Imported) Cars Registered","2009","11 years","Exempt registrations","Number","182"
"Used  (Imported) Cars Registered","2009","11 years","Net registrations","Number","1482"
"Used  (Imported) Cars Registered","2009","12 years","Gross registrations","Number","1132"
"Used  (Imported) Cars Registered","2009","12 years","Exempt registrations","Number","125"
"Used  (Imported) Cars Registered","2009","12 years","Net registrations","Number","1007"
"Used  (Imported) Cars Registered","2009","13 years and over","Gross registrations","Number","2699"
"Used  (Imported) Cars Registered","2009","13 years and over","Exempt registrations","Number","332"
"Used  (Imported) Cars Registered","2009","13 years and over","Net registrations","Number","2367"
"Used  (Imported) Cars Registered","2010","All ages","Gross registrations","Number","40115"
"Used  (Imported) Cars Registered","2010","All ages","Exempt registrations","Number","2990"
"Used  (Imported) Cars Registered","2010","All ages","Net registrations","Number","37125"
"Used  (Imported) Cars Registered","2010","1 year","Gross registrations","Number","1455"
"Used  (Imported) Cars Registered","2010","1 year","Exempt registrations","Number","70"
"Used  (Imported) Cars Registered","2010","1 year","Net registrations","Number","1385"
"Used  (Imported) Cars Registered","2010","2 years","Gross registrations","Number","6178"
"Used  (Imported) Cars Registered","2010","2 years","Exempt registrations","Number","262"
"Used  (Imported) Cars Registered","2010","2 years","Net registrations","Number","5916"
"Used  (Imported) Cars Registered","2010","3 years","Gross registrations","Number","5706"
"Used  (Imported) Cars Registered","2010","3 years","Exempt registrations","Number","366"
"Used  (Imported) Cars Registered","2010","3 years","Net registrations","Number","5340"
"Used  (Imported) Cars Registered","2010","4 years","Gross registrations","Number","4038"
"Used  (Imported) Cars Registered","2010","4 years","Exempt registrations","Number","327"
"Used  (Imported) Cars Registered","2010","4 years","Net registrations","Number","3711"
"Used  (Imported) Cars Registered","2010","5 years","Gross registrations","Number","4295"
"Used  (Imported) Cars Registered","2010","5 years","Exempt registrations","Number","320"
"Used  (Imported) Cars Registered","2010","5 years","Net registrations","Number","3975"
"Used  (Imported) Cars Registered","2010","6 years","Gross registrations","Number","3669"
"Used  (Imported) Cars Registered","2010","6 years","Exempt registrations","Number","318"
"Used  (Imported) Cars Registered","2010","6 years","Net registrations","Number","3351"
"Used  (Imported) Cars Registered","2010","7 years","Gross registrations","Number","3072"
"Used  (Imported) Cars Registered","2010","7 years","Exempt registrations","Number","281"
"Used  (Imported) Cars Registered","2010","7 years","Net registrations","Number","2791"
"Used  (Imported) Cars Registered","2010","8 years","Gross registrations","Number","2942"
